project_name_en,ejari_property_sub_type_en,average_prices_per_development
AZIZI. DAISY,2 bed rooms+hall,75670.7463768116
AZIZI. DAISY,3 bed rooms+hall,98535.36363636363
AZIZI. FEIROUZ,1bed room+Hall,58113.45933014354
AZIZI. FEIROUZ,2 bed rooms+hall,82042.37037037036
AZIZI. FEIROUZ,3 bed rooms+hall,100730.27586206897
AZIZI. FREESIA,1bed room+Hall,53339.739130434784
AZIZI. FREESIA,2 bed rooms+hall,74617.61170212766
AZIZI. FREESIA,3 bed rooms+hall,97534.45714285714
AZIZI. ORCHID,1bed room+Hall,57292.78723404255
AZIZI. ORCHID,2 bed rooms+hall,76917.1776061776
AZIZI. ORCHID,3 bed rooms+hall,103115.31034482758
AZIZI. TULIP,1bed room+Hall,54918.20560747664
AZIZI. TULIP,2 bed rooms+hall,74687.03404255319
AZIZI. TULIP,3 bed rooms+hall,94227.93333333333
AZIZI. YASAMINE,1bed room+Hall,59234.280373831774
AZIZI. YASAMINE,2 bed rooms+hall,81207.03083700441
AZIZI. YASAMINE,3 bed rooms+hall,99545.16129032258
AZURE RESIDENCE,1bed room+Hall,118669.34579439252
AZURE RESIDENCE,2 bed rooms+hall,174451.1893939394
AZURE RESIDENCE,Restaurant,436675.5
AZURE RESIDENCE,Shop,474502.22222222225
Ahad Residences,1bed room+Hall,121111.30107526881
Ahad Residences,2 bed rooms+hall,177041.66666666666
Ahad Residences,3 bed rooms+hall,259665.0
Ahad Residences,Studio,89000.0
Al Fouad,1bed room+Hall,45233.55351681957
Al Fouad,2 bed rooms+hall,68787.46296296296
Al Fouad,3 bed rooms+hall,74931.0
Al Fouad,Shop,133083.33333333334
Al Fouad,Studio,31852.09574468085
Al Haseen Residence,1bed room+Hall,32002.564315352698
Al Haseen Residence,2 bed rooms+hall,41355.8671875
Al Haseen Residence,Studio,24097.95867768595
Alandalus Building G,1bed room+Hall,75075.0
Alandalus Building G,2 bed rooms+hall,150000.0
Arabella 3,3 bed rooms+hall,114540.8074433657
Arabella 3,4 bed rooms+hall,143807.48559670782
Arabella 3,5 bed rooms+hall,199204.0
Arabian Ranches - Alvorada III,3 bed rooms+hall,225954.31313131313
Arabian Ranches - Alvorada III,4 bed rooms+hall,254601.58015267176
Arabian Ranches - Alvorada III,5 bed rooms+hall,290815.5542168675
Arabian Ranches - Lila Community,3 bed rooms+hall,163374.9914893617
Arabian Ranches - Lila Community,4 bed rooms+hall,182243.31773879143
Arabian Ranches - Lila Community,5 bed rooms+hall,199443.64814814815
Arabian Ranches -La Avenida I,5 bed rooms+hall,317850.0
Arabian Ranches -La Avenida I,6 bed rooms+hall,350961.3
Arabian Ranches III - JOY,3 bed rooms+hall,134549.80988593155
Arabian Ranches III - JOY,4 bed rooms+hall,190323.51908396947
Arabian Ranches III - SUN,3 bed rooms+hall,137512.4052478134
Arabian Ranches III - SUN,4 bed rooms+hall,186781.76829268291
Arabian Ranches III - Spring,3 bed rooms+hall,135788.04301075268
Arabian Ranches III - Spring,4 bed rooms+hall,186260.86956521738
Arabian Ranches lll - Ruba,3 bed rooms+hall,157923.06976744186
Arabian Ranches lll - Ruba,4 bed rooms+hall,220937.5
Arabian Ranches-Casa Community,3 bed rooms+hall,175551.52574525744
Arabian Ranches-Casa Community,4 bed rooms+hall,195070.39932126697
Arabian Ranches-Casa Community,5 bed rooms+hall,210425.44871794872
Arabian Ranches-Casa Community,6 bed rooms+hall,182142.85714285713
Asayel at Madinat Jumeirah Living,1bed room+Hall,126880.95238095238
Asayel at Madinat Jumeirah Living,2 bed rooms+hall,197500.0
Asayel at Madinat Jumeirah Living,3 bed rooms+hall,319687.3333333333
Asayel at Madinat Jumeirah Living,4 bed rooms+hall,367500.0
Astoria Villas,3 bed rooms+hall,116080.41935483871
Aurion Residence,1bed room+Hall,47235.6167400881
Aurion Residence,2 bed rooms+hall,71739.22857142857
Aurion Residence,3 bed rooms+hall,101666.66666666667
Aurion Residence,Office,77611.11111111111
Aurion Residence,Shop,87010.0
Aurion Residence,Studio,31260.60606060606
Avenue Residence 2,1bed room+Hall,57890.93548387097
Avenue Residence 2,2 bed rooms+hall,76310.42523364486
Avenue Residence 2,3 bed rooms+hall,103007.82352941176
Avenue Residence 2,Shop,183416.33333333334
Azizi  Riviera 34,1bed room+Hall,68684.375
Azizi  Riviera 34,3 bed rooms+hall,130000.0
Azizi  Riviera 34,Shop,129833.3
Azizi  Riviera 34,Studio,46911.125
Azizi Aliyah Residences,1bed room+Hall,70858.52380952382
Azizi Aliyah Residences,2 bed rooms+hall,79092.77272727272
Azizi Aliyah Residences,Shop,72583.33333333333
Azizi Aliyah Residences,Studio,38851.76175040519
Azizi Aura Residences,1bed room+Hall,44527.80630630631
Azizi Aura Residences,2 bed rooms+hall,64891.84126984127
Azizi Aura Residences,Shop,166250.0
Azizi Aura Residences,Studio,31895.65703022339
Azizi Berton,1bed room+Hall,62270.26666666667
Azizi Berton,2 bed rooms+hall,79500.0
Azizi Berton,Hotel,48780.21428571428
Azizi Berton,Studio,48155.13513513513
Azizi Farishta Residence,1bed room+Hall,47467.14186851211
Azizi Farishta Residence,2 bed rooms+hall,73250.3
Azizi Farishta Residence,Shop,98226.27272727272
Azizi Farishta Residence,Studio,30947.201680672268
Azizi Gardens,1bed room+Hall,62375.0
Azizi Gardens,2 bed rooms+hall,75600.0
Azizi Gardens,Shop,85730.0
